2,-66,-69,-74,-77,-71,-70,-54,-72,-48,-60,-62
3,-72,-77,-74,-71,-69,-68,-50,-63,-53,-60,-62
4,-69,-66,-76,-71,-68,-60,-48,-63,-41,-60,-71
6,-65,-76,-73,-71,-64,-61,-37,-62,-38,-120,-68
5.1,-79,-73,-76,-65,-61,-56,-48,-120,-41,-59,-72
3,-67,-68,-69,-60,-58,-63,-47,-120,-37,-53,-76
1,-60,-72,-69,-66,-60,-75,-37,-120,-49,-58,-70
0,-60,-76,-75,-76,-77,-69,-56,-120,-45,-60,-60
1.8,-64,-71,-85,-79,-71,-72,-55,-120,-48,-57,-67
3.4,-61,-68,-73,-74,-67,-59,-43,-120,-42,-58,-74
5.1,-66,-72,-78,-79,-72,-66,-37,-120,-17,-60,-73
6,-70,-72,-71,-65,-67,-54,-46,-65,-17,-60,-73
6,-64,-72,-72,-59,-66,-69,-49,-65,-37,-60,-71
5.1,-63,-77,-72,-65,-57,-44,-47,-61,-38,-61,-71
4.3,-63,-66,-72,-62,-65,-57,-47,-66,-37,-56,-73
3.4,-70,-65,-67,-65,-65,-60,-45,-66,-36,-62,-73
2.6,-65,-68,-79,-63,-60,-65,-43,-72,-36,-56,-64
1.7,-67,-69,-78,-68,-61,-63,-37,-59,-53,-60,-73
0.9,-75,-70,-78,-70,-65,-72,-44,-60,-53,-57,-64
0,-57,-71,-68,-74,-69,-72,-44,-68,-53,-59,-64
0,-74,-66,-73,-73,-77,-72,-56,-68,-53,-59,-64
1.7,-62,-72,-71,-83,-74,-63,-57,-120,-51,-59,-65
3.4,-71,-72,-75,-80,-69,-63,-49,-120,-42,-55,-120
5.1,-71,-77,-77,-69,-65,-65,-41,-65,-39,-61,-120
6,-69,-76,-75,-70,-61,-53,-46,-67,-35,-60,-120
4.3,-120,-72,-68,-69,-66,-52,-43,-68,-38,-120,-74
2.6,-120,-68,-68,-63,-69,-64,-45,-63,-36,-59,-68
1.7,-60,-75,-73,-69,-66,-67,-41,-60,-45,-56,-66
0.9,-71,-63,-73,-68,-67,-66,-38,-68,-53,-59,-63
0,-61,-75,-72,-68,-62,-66,-45,-62,-51,-58,-70
0,-58,-68,-73,-75,-62,-65,-55,-74,-51,-55,-70
1.5,-68,-68,-73,-71,-120,-66,-57,-71,-50,-55,-66
3,-63,-70,-120,-74,-120,-60,-44,-67,-44,-56,-69
4.5,-66,-77,-120,-68,-64,-64,-41,-65,-17,-60,-66
6,-73,-74,-120,-61,-58,-54,-50,-62,-19,-60,-75
5.3,-67,-72,-120,-65,-61,-53,-43,-67,-35,-120,-72
3.8,-64,-68,-120,-63,-78,-59,-44,-58,-37,-120,-69
2.3,-61,-70,-71,-75,-63,-61,-36,-62,-51,-120,-70
0.8,-65,-71,-74,-77,-71,-66,-56,-62,-55,-120,-65
0,-57,-68,-66,-67,-77,-71,-59,-66,-48,-120,-67
1.4,-70,-71,-120,-74,-71,-68,-58,-68,-51,-120,-69
2.7,-66,-69,-120,-70,-68,-62,-45,-69,-40,-120,-68
4,-70,-70,-120,-75,-63,-60,-36,-68,-36,-120,-70
5.3,-70,-70,-73,-64,-59,-52,-47,-68,-14,-61,-71
6,-70,-69,-68,-65,-63,-50,-54,-120,-42,-59,-71
5.4,-62,-76,-68,-61,-60,-47,-46,-63,-36,-52,-69
4.7,-62,-68,-68,-62,-57,-56,-44,-63,-36,-52,-75
4,-62,-69,-68,-73,-64,-58,-47,-68,-36,-52,-69
2.7,-64,-72,-120,-65,-64,-68,-35,-58,-54,-120,-63
1.4,-66,-65,-120,-72,-69,-72,-57,-63,-52,-120,-65
0,-57,-66,-120,-80,-69,-72,-61,-70,-58,-120,-61
