34,3.9,-67,-65,-70,-69,-54,-45,-47,-59,-39,-120,-68
35,2,-67,-63,-71,-76,-60,-55,-45,-59,-38,-120,-68
36,0,-62,-69,-68,-61,-68,-68,-45,-59,-42,-120,-71
37,0,-59,-62,-71,-61,-72,-75,-57,-65,-46,-120,-63
38,1.6,-60,-66,-71,-77,-72,-69,-54,-67,-52,-59,-63
39,3,-63,-65,-76,-74,-72,-69,-52,-71,-51,-59,-63
40,4.5,-67,-73,-76,-71,-67,-62,-51,-64,-52,-58,-120
41,6,-66,-75,-76,-73,-67,-66,-57,-63,-45,-60,-120
42,6,-66,-72,-69,-63,-62,-66,-54,-64,-40,-58,-120
43,4.5,-72,-71,-72,-65,-62,-50,-46,-62,-39,-59,-72
44,3,-72,-68,-70,-64,-59,-51,-45,-64,-44,-60,-72
45,1.5,-64,-66,-70,-63,-59,-58,-42,-68,-36,-59,-72
46,0,-64,-70,-74,-68,-67,-61,-48,-65,-38,-57,-67
47,0,-62,-65,-74,-76,-74,-61,-53,-65,-56,-57,-67
48,1.2,-64,-65,-120,-76,-74,-63,-55,-70,-56,-58,-120
49,2.5,-62,-72,-120,-72,-67,-73,-53,-66,-53,-58,-120
50,3.5,-73,-75,-120,-72,-71,-60,-53,-65,-50,-58,-120
51,4.7,-73,-71,-120,-69,-67,-60,-51,-65,-44,-58,-120
52,6,-68,-71,-120,-76,-65,-60,-40,-67,-39,-120,-63
53,6,-64,-75,-75,-62,-56,-57,-46,-66,-37,-120,-77
54,4.7,-60,-72,-70,-65,-56,-47,-46,-66,-36,-120,-71
55,3.5,-69,-72,-70,-67,-63,-50,-45,-60,-41,-120,-69
56,2.4,-69,-68,-71,-61,-65,-57,-48,-69,-38,-120,-71
57,1.2,-69,-69,-71,-69,-67,-57,-43,-67,-44,-120,-68
58,0,-65,-68,-71,-63,-72,-59,-38,-65,-46,-120,-68
59,0,-58,-63,-73,-77,-83,-77,-58,-67,-46,-120,-58
